Publisher,Primary Distributor,Secondary Distributor,Secondary Distributor
Tulika,Tulika,IBD,Westland
Pratham,Pratham,,
Karadi Tales,Prism Books,,
Eklavya,Eklavya,,
Tara Books,Tara Books,,
Ektara,Ektara,,
NBT,NBT,,
CBT,CBT,,
Katha,Tanvi Agency,,
Daffodil Lane,Daffodil Lane,,
Independents,Independents,,
Kalpavriksh,Kalpavriksh,,
Duckbill (Penguin),PBD,,
Scholastic,IBD,PBD,
Talking Cub,PBD,,
Speaking Tiger,PBD,,
People Place Project,People Place Project,,
Art 1st (Harper Collins),PBD,,
Little Latitude,Little Latitude,,
AdiDev Press,AdiDev Press,,
Jyotsana Prakashan,Jyotsana Prakashan,,
Tota Books,PBD,,
The Little Dipper,The Little Dipper,,
Bloomsbury,IBD,PBD,Rupa
Pan Macmillian,IBD,PBD,
Harper Collins,PBD,,
Penguin,PBD,,
Ladybird (Penguin),IBD,,
Dorling Kindersley (Penguin),PBD,,
Random House (Penguin),PBD,,
Faber & Faber (Penguin),PBD,,
Walker (Penguin),PBD,,
Big Picture Press (Harper Collins),PBD,,
Hachette,IBD,,
Wide Eye (Harper Collins),PBD,,
Simon & Schuster,IBD,,
Chronicle Books,TV Enterprise,,
Magic Cat,Roli Books,,
Thames & Hudson,Roli Books,,
Phaidon,Roli Books,,
Abrams,Roli Books,,
Red Shed (Harper Collins),PBD,,
Nosy Crow (Harper Collins),PBD,,
Flying Eye,TV Enterprise,,
Barefoot,Roli Books,,
Farshore (Harper Collins),PBD,,
Little Tiger (Penguin),PBD,,
Barrington Stoke (Harper Collins),PBD,,
Enchanted Lion,Roli Books,,
Words & Picture (Harper Collins),PBD,,
Frances Lincoln (Harper Collins),PBD,,
Puffin (Penguin),PBD,,
Houghton Mifflin Harcourt (Harper Collins),PBD,,
Press Works,Press Works,,
NCF,NCF,,
Happy Potato Press,Press Works,,
Tate (Harper Collins),PBD,,
Ten Speed Press (Penguin),PBD,,
First Second (Pan Macmillan),IBD,,
Usborne,PBD,,
Indigrow,Indigrow,,
Workman (Hachette),IBD,,
National Geographic,PBD,,
Wonder House Books,PBD,,
Quarto Group,PBD,,
Bonnier Books UK,PBD,,
Juggernaut Books,PBD,,
Roli Books,Roli Books,,
Pushkin Press,PBD,,
Andersen Press,PBD,,
